Name	ORF	Link	Annotation	Growth Rate Slope	Bootstrapped p-value of slope	R^2	Growth Rate Response @1.5SD	ESR	Calibration gene?	Bootstrapped p-value of R^2	p-value of R^2	Growth Rate Baseline	Variability	Bootstrapped p-value of variability	Unresponsive?
NPL4	YBR170C	YBR170C	ER-associated protein catabolism || molecular function unknown || YBR170C || 1086723	-1.51	2.76E-01	0.37				1.40E-04	7.95E-05	0.52	0.18	0.00E+00	
YDR520C	YDR520C	YDR520C	biological process unknown || molecular function unknown || YDR520C || 1085249	-1.51	2.76E-01	0.22				5.41E-03	3.65E-03	0.45	0.21	1.00E-04	
MKS1	YNL076W	YNL076W	regulation of nitrogen utilization || transcriptional repressor activity || YNL076W || 1085041	-1.51	2.76E-01	0.16				2.27E-02	1.53E-02	0.45	0.25	2.10E-03	
RPT5	YOR117W	YOR117W	ubiquitin-dependent protein catabolism || ATPase activity* || YOR117W || 1086333	-1.51	2.76E-01	0.54				0.00E+00	3.55E-07	0.66	0.15	0.00E+00	
PSK2	YOL045W	YOL045W	protein amino acid phosphorylation* || protein serine/threonine kinase activity || YOL045W || 1084987	-1.50	2.77E-01	0.12				5.67E-02	3.99E-02	0.68	0.29	1.68E-02	
ATP19	YOL077W-A	YOL077W-A	"ATP synthesis coupled proton transport || hydrogen-transporting ATP synthase activity, rotational mechanism || YOL077W-A || 1080756"	-1.50	2.78E-01	0.08				1.38E-01	1.04E-01	0.11	0.39	3.06E-01	
SCW4	YGR279C	YGR279C	conjugation with cellular fusion || glucosidase activity || YGR279C || 1081524	-1.50	2.78E-01	0.06				1.78E-01	1.38E-01	0.41	0.43	4.83E-01	
YFR039C	YFR039C	YFR039C	biological process unknown || molecular function unknown || YFR039C || 1084983	-1.50	2.78E-01	0.14				3.34E-02	2.24E-02	0.57	0.25	2.30E-03	
BNA1	YJR025C	YJR025C	"NAD biosynthesis || 3-hydroxyanthranilate 3,4-dioxygenase activity || YJR025C || 1083917"	-1.50	2.79E-01	0.03		up		4.05E-01	3.52E-01	0.28	0.68	9.92E-01	
GAL3	YDR009W	YDR009W	"regulation of transcription, DNA-dependent* || protein binding || YDR009W || 1080901"	-1.50	2.79E-01	0.03				3.54E-01	3.02E-01	-0.69	0.58	9.45E-01	
SRB8	YCR081W	YCR081W	negative regulation of transcription from RNA polymerase II promoter || RNA polymerase II transcription mediator activity || YCR081W || 1081369	-1.49	2.80E-01	0.15				2.90E-02	1.95E-02	0.39	0.26	3.10E-03	
CLB1	YGR108W	YGR108W	G2/M transition of mitotic cell cycle* || cyclin-dependent protein kinase regulator activity || YGR108W || 1083517	-1.49	2.81E-01	0.02				4.86E-01	4.35E-01	0.40	0.77	9.99E-01	
VCX1	YDL128W	YDL128W	calcium ion homeostasis* || calcium ion transporter activity* || YDL128W || 1082383	-1.49	2.81E-01	0.12				5.74E-02	4.04E-02	0.15	0.27	5.60E-03	
YPR152C	YPR152C	YPR152C	biological process unknown || molecular function unknown || YPR152C || 1080741	-1.49	2.81E-01	0.17				2.06E-02	1.37E-02	0.15	0.22	1.00E-04	
YGL226W	YGL226W	YGL226W	biological process unknown || molecular function unknown || YGL226W || 1086630	-1.49	2.81E-01	0.10				7.65E-02	5.45E-02	0.39	0.31	4.30E-02	
TFP3	YPL234C	YPL234C	"vacuolar acidification || hydrogen-transporting ATPase activity, rotational mechanism || YPL234C || 1084391"	-1.49	2.82E-01	0.15				2.90E-02	1.94E-02	0.20	0.24	9.00E-04	
CSE4	YKL049C	YKL049C	mitotic sister chromatid segregation || centromeric DNA binding || YKL049C || 1084194	-1.49	2.82E-01	0.09				9.30E-02	6.77E-02	0.60	0.35	1.23E-01	
ATE1	YGL017W	YGL017W	protein modification* || arginyltransferase activity || YGL017W || 1086837	-1.49	2.82E-01	0.17				2.01E-02	1.33E-02	0.56	0.22	1.00E-04	
YLR414C	YLR414C	YLR414C	biological process unknown || molecular function unknown || YLR414C || 1084966	-1.48	2.83E-01	0.03				3.38E-01	2.86E-01	0.89	0.55	9.07E-01	
YOR343C	YOR343C	YOR343C	|| || YOR343C || 1083407	-1.48	2.83E-01	0.03				3.39E-01	2.87E-01	-0.39	0.57	9.28E-01	
YCR025C	YCR025C	YCR025C	|| || YCR025C || 1086542	-1.48	2.84E-01	0.07				1.43E-01	1.08E-01	0.25	0.35	1.24E-01	
APC4	YDR118W	YDR118W	mitotic sister chromatid segregation* || protein binding* || YDR118W || 1084382	-1.48	2.84E-01	0.29				1.08E-03	7.57E-04	0.51	0.18	0.00E+00	yes
SUN4	YNL066W	YNL066W	mitochondrion organization and biogenesis || glucosidase activity || YNL066W || 1082158	-1.48	2.85E-01	0.02		down		4.30E-01	3.78E-01	0.16	0.62	9.73E-01	
PEP8	YJL053W	YJL053W	protein retention in Golgi* || molecular function unknown || YJL053W || 1082778	-1.48	2.86E-01	0.51				0.00E+00	1.04E-06	0.41	0.15	0.00E+00	yes
YGL036W	YGL036W	YGL036W	biological process unknown || molecular function unknown || YGL036W || 1082942	-1.48	2.85E-01	0.15				3.02E-02	2.01E-02	0.41	0.25	2.30E-03	
ZRT1	YGL255W	YGL255W	high-affinity zinc ion transport || high affinity zinc uptake transporter activity || YGL255W || 1082049	-1.48	2.86E-01	0.01				6.88E-01	6.51E-01	-0.54	1.39	1.00E+00	
MAD2	YJL030W	YJL030W	mitotic spindle checkpoint || molecular function unknown || YJL030W || 1084020	-1.48	2.86E-01	0.10				8.89E-02	6.43E-02	0.72	0.25	2.40E-03	
ERG27	YLR100W	YLR100W	ergosterol biosynthesis || 3-keto sterol reductase activity || YLR100W || 1086817	-1.47	2.87E-01	0.27				1.54E-03	1.12E-03	0.52	0.20	0.00E+00	yes
COS6	YGR295C	YGR295C	biological process unknown || molecular function unknown || YGR295C || 1083985	-1.47	2.88E-01	0.12				5.74E-02	4.04E-02	0.49	0.30	2.86E-02	
UBP11	YKR098C	YKR098C	biological process unknown || ubiquitin-specific protease activity || YKR098C || 1081264	-1.46	2.90E-01	0.14				3.43E-02	2.30E-02	0.51	0.25	2.70E-03	
	YGR287C	YGR287C	"biological process unknown || hydrolase activity, hydrolyzing O-glycosyl compounds || YGR287C || 1084356"	-1.46	2.91E-01	0.10				8.75E-02	6.31E-02	0.04	0.30	2.98E-02	
MIG2	YGL209W	YGL209W	regulation of transcription from RNA polymerase II promoter* || specific RNA polymerase II transcription factor activity || YGL209W || 1086634	-1.46	2.92E-01	0.01				5.88E-01	5.43E-01	2.56	0.85	1.00E+00	
EFB1	YAL003W	YAL003W	translational elongation || translation elongation factor activity || YAL003W || 1085558	-1.46	2.92E-01	0.09		down		1.08E-01	7.98E-02	0.22	0.31	4.09E-02	
PRP40	YKL012W	YKL012W	"nuclear mRNA splicing, via spliceosome || RNA binding || YKL012W || 1081004"	-1.45	2.93E-01	0.36				1.50E-04	1.02E-04	0.42	0.17	0.00E+00	yes
YML009W-B	YML009W-B	YML009W-B	|| || YML009W-B || 1085660	-1.45	2.93E-01	0.09				1.03E-01	7.54E-02	0.35	0.28	1.14E-02	
LAS17	YOR181W	YOR181W	endocytosis* || cytoskeletal protein binding || YOR181W || 1086422	-1.45	2.93E-01	0.04				3.00E-01	2.50E-01	0.30	0.44	5.54E-01	
SHP1	YBL058W	YBL058W	sporulation (sensu Fungi)* || molecular function unknown || YBL058W || 1082990	-1.45	2.93E-01	0.33				3.90E-04	2.80E-04	0.07	0.16	0.00E+00	yes
VPS4	YPR173C	YPR173C	protein retention in Golgi* || ATPase activity || YPR173C || 1082710	-1.45	2.94E-01	0.23				4.71E-03	3.13E-03	0.15	0.19	0.00E+00	yes
YBR108W	YBR108W	YBR108W	biological process unknown || molecular function unknown || YBR108W || 1085756	-1.45	2.95E-01	0.14				3.52E-02	2.37E-02	0.07	0.25	1.50E-03	
TFC6	YDR362C	YDR362C	transcription initiation from RNA polymerase III promoter || RNA polymerase III transcription factor activity || YDR362C || 1081621	-1.45	2.95E-01	0.18				1.40E-02	9.07E-03	0.59	0.22	3.00E-04	
NFU1	YKL040C	YKL040C	iron ion homeostasis || molecular function unknown || YKL040C || 1086880	-1.45	2.95E-01	0.09				1.09E-01	8.03E-02	0.60	0.27	7.40E-03	
IRA2	YOL081W	YOL081W	Ras protein signal transduction || Ras GTPase activator activity || YOL081W || 1082488	-1.45	2.95E-01	0.19				1.16E-02	7.58E-03	0.60	0.21	0.00E+00	yes
WAR1	YML076C	YML076C	response to acid || transcription factor activity || YML076C || 1085155	-1.44	2.96E-01	0.24				3.70E-03	2.47E-03	0.52	0.19	0.00E+00	yes
SEF1	YBL066C	YBL066C	biological process unknown || molecular function unknown || YBL066C || 1086504	-1.44	2.96E-01	0.10				8.24E-02	5.92E-02	-0.03	0.30	2.98E-02	
INP54	YOL065C	YOL065C	exocytosis* || inositol-polyphosphate 5-phosphatase activity || YOL065C || 1085071	-1.44	2.96E-01	0.32				4.40E-04	3.26E-04	0.61	0.18	0.00E+00	yes
YPR091C	YPR091C	YPR091C	biological process unknown || molecular function unknown || YPR091C || 1085212	-1.44	2.97E-01	0.07				1.43E-01	1.09E-01	-0.06	0.36	1.52E-01	
YKR023W	YKR023W	YKR023W	biological process unknown || molecular function unknown || YKR023W || 1086730	-1.44	2.98E-01	0.17				2.07E-02	1.38E-02	0.17	0.25	1.30E-03	
YNR047W	YNR047W	YNR047W	response to pheromone || protein kinase activity || YNR047W || 1081329	-1.44	2.98E-01	0.03				3.29E-01	2.78E-01	0.10	0.52	8.43E-01	
IOC4	YMR044W	YMR044W	chromatin remodeling || protein binding || YMR044W || 1086642	-1.44	2.98E-01	0.14				3.41E-02	2.28E-02	0.15	0.25	2.50E-03	
YPT10	YBR264C	YBR264C	Golgi organization and biogenesis || GTPase activity* || YBR264C || 1081166	-1.44	2.98E-01	0.15				3.23E-02	2.15E-02	0.55	0.26	3.30E-03	
RPN7	YPR108W	YPR108W	ubiquitin-dependent protein catabolism || structural molecule activity || YPR108W || 1085866	-1.44	2.98E-01	0.18				1.55E-02	1.02E-02	0.43	0.22	2.00E-04	
YFL034W	YFL034W	YFL034W	biological process unknown || molecular function unknown || YFL034W || 1084938	-1.44	2.99E-01	0.33				3.50E-04	2.47E-04	0.39	0.16	0.00E+00	yes
SNT2	YGL131C	YGL131C	biological process unknown || DNA binding || YGL131C || 1083167	-1.43	2.99E-01	0.17				2.02E-02	1.34E-02	0.46	0.23	5.00E-04	
YFR016C	YFR016C	YFR016C	biological process unknown || molecular function unknown || YFR016C || 1082591	-1.43	3.00E-01	0.19				1.27E-02	8.27E-03	0.19	0.20	0.00E+00	yes
MNE1	YOR350C	YOR350C	biological process unknown || molecular function unknown || YOR350C || 1081696	-1.43	2.99E-01	0.19				1.15E-02	7.54E-03	0.05	0.23	4.00E-04	
YAP3	YHL009C	YHL009C	regulation of transcription from RNA polymerase II promoter || transcription factor activity || YHL009C || 1083007	-1.43	3.00E-01	0.20				9.18E-03	6.06E-03	0.41	0.22	2.00E-04	
UBP2	YOR124C	YOR124C	protein deubiquitination || ubiquitin-specific protease activity || YOR124C || 1080928	-1.43	3.00E-01	0.21				7.57E-03	5.06E-03	0.31	0.20	0.00E+00	yes
CHA1	YCL064C	YCL064C	threonine catabolism* || L-serine ammonia-lyase activity* || YCL064C || 1086225	-1.43	3.00E-01	0.02				4.37E-01	3.85E-01	0.80	0.65	9.85E-01	
YCP4	YCR004C	YCR004C	biological process unknown || electron transporter activity || YCR004C || 1085316	-1.43	3.00E-01	0.09		up		1.13E-01	8.35E-02	0.05	0.30	2.65E-02	
YOR154W	YOR154W	YOR154W	biological process unknown || molecular function unknown || YOR154W || 1082280	-1.43	3.01E-01	0.19				1.08E-02	7.12E-03	0.38	0.24	1.20E-03	
TFB5	YDR079C-A	YDR079C-A	DNA repair* || molecular function unknown* || YDR079C-A || 1084683	-1.43	3.02E-01	0.12				5.55E-02	3.91E-02	0.70	0.26	3.70E-03	
RPN3	YER021W	YER021W	ubiquitin-dependent protein catabolism || molecular function unknown || YER021W || 1085298	-1.43	3.02E-01	0.14				3.37E-02	2.26E-02	0.46	0.24	9.00E-04	
YMR102C	YMR102C	YMR102C	biological process unknown || molecular function unknown || YMR102C || 1082790	-1.42	3.02E-01	0.21				7.27E-03	4.81E-03	0.53	0.20	0.00E+00	yes
YIR007W	YIR007W	YIR007W	biological process unknown || molecular function unknown || YIR007W || 1081652	-1.42	3.03E-01	0.14				3.71E-02	2.52E-02	0.49	0.22	2.00E-04	
YHL046C	YHL046C	YHL046C	biological process unknown || molecular function unknown || YHL046C || 1084504	-1.42	3.02E-01	0.06				1.83E-01	1.43E-01	0.37	0.44	5.62E-01	
SFT1	YKL006C-A	YKL006C-A	intra-Golgi transport || v-SNARE activity || YKL006C-A || 1086439	-1.42	3.04E-01	0.12				4.94E-02	3.46E-02	0.46	0.25	2.60E-03	
YIM1	YMR152W	YMR152W	mitochondrial protein processing || peptidase activity || YMR152W || 1082826	-1.42	3.04E-01	0.18				1.65E-02	1.07E-02	0.55	0.21	1.00E-04	
YGR017W	YGR017W	YGR017W	biological process unknown || molecular function unknown || YGR017W || 1086280	-1.42	3.05E-01	0.16				2.50E-02	1.68E-02	0.06	0.25	1.30E-03	
DAN3	YBR301W	YBR301W	biological process unknown || molecular function unknown || YBR301W || 1086681	-1.42	3.06E-01	0.07				1.60E-01	1.23E-01	0.38	0.41	3.91E-01	
AQY2	YLL052C	YLL052C	water transport || water channel activity || YLL052C || 1081565	-1.41	3.07E-01	0.02				4.85E-01	4.35E-01	-0.06	0.70	9.95E-01	
GYP1	YOR070C	YOR070C	vesicle-mediated transport || Rab GTPase activator activity || YOR070C || 1086226	-1.41	3.07E-01	0.26				2.06E-03	1.43E-03	0.50	0.18	0.00E+00	yes
FZO1	YBR179C	YBR179C	mitochondrion organization and biogenesis* || GTPase activity || YBR179C || 1080903	-1.41	3.08E-01	0.37				1.40E-04	7.94E-05	0.24	0.15	0.00E+00	yes
MSN1	YOL116W	YOL116W	invasive growth (sensu Saccharomyces)* || transcriptional activator activity || YOL116W || 1085828	-1.41	3.08E-01	0.22				5.16E-03	3.48E-03	0.46	0.19	0.00E+00	yes
TAD1	YGL243W	YGL243W	tRNA modification || tRNA specific adenosine deaminase activity || YGL243W || 1084468	-1.41	3.08E-01	0.16				2.43E-02	1.62E-02	0.36	0.19	0.00E+00	yes
STN1	YDR082W	YDR082W	telomere capping || protein binding || YDR082W || 1080852	-1.41	3.09E-01	0.20				9.92E-03	6.56E-03	0.36	0.23	4.00E-04	
PTP1	YDL230W	YDL230W	protein amino acid dephosphorylation || protein tyrosine phosphatase activity || YDL230W || 1085305	-1.40	3.09E-01	0.16				2.27E-02	1.53E-02	0.08	0.22	1.00E-04	
PRE9	YGR135W	YGR135W	ubiquitin-dependent protein catabolism* || endopeptidase activity || YGR135W || 1086487	-1.40	3.09E-01	0.15				2.82E-02	1.89E-02	0.69	0.26	3.90E-03	
ORM2	YLR350W	YLR350W	response to unfolded protein || molecular function unknown || YLR350W || 1086247	-1.40	3.09E-01	0.04				2.80E-01	2.30E-01	0.63	0.43	4.92E-01	
AEP3	YPL005W	YPL005W	mRNA metabolism || molecular function unknown || YPL005W || 1083312	-1.40	3.10E-01	0.11				6.66E-02	4.71E-02	0.39	0.29	1.69E-02	
UFD2	YDL190C	YDL190C	response to stress* || ubiquitin conjugating enzyme activity || YDL190C || 1083558	-1.40	3.10E-01	0.16				2.56E-02	1.72E-02	0.44	0.26	3.60E-03	
YIL092W	YIL092W	YIL092W	biological process unknown || molecular function unknown || YIL092W || 1080819	-1.40	3.12E-01	0.29				1.08E-03	7.57E-04	0.20	0.18	0.00E+00	yes
SNX41	YDR425W	YDR425W	protein transport || protein transporter activity || YDR425W || 1081114	-1.40	3.12E-01	0.13				4.42E-02	3.04E-02	0.43	0.27	7.60E-03	
CPR2	YHR057C	YHR057C	biological process unknown || peptidyl-prolyl cis-trans isomerase activity || YHR057C || 1080844	-1.40	3.12E-01	0.09				9.73E-02	7.10E-02	0.22	0.33	7.88E-02	
POP1	YNL221C	YNL221C	rRNA processing* || ribonuclease P activity* || YNL221C || 1082850	-1.40	3.12E-01	0.18				1.54E-02	1.01E-02	0.19	0.22	2.00E-04	
CUL3	YGR003W	YGR003W	ubiquitin-dependent protein catabolism || protein binding* || YGR003W || 1081249	-1.39	3.13E-01	0.13				4.54E-02	3.15E-02	0.49	0.28	1.06E-02	
SNX4	YJL036W	YJL036W	transport* || lipid binding || YJL036W || 1086053	-1.39	3.13E-01	0.25				3.04E-03	2.07E-03	0.38	0.17	0.00E+00	yes
YGR251W	YGR251W	YGR251W	processing of 20S pre-rRNA || molecular function unknown || YGR251W || 1081371	-1.39	3.14E-01	0.17		down		1.69E-02	1.11E-02	0.31	0.18	0.00E+00	yes
BIK1	YCL029C	YCL029C	mitotic spindle organization and biogenesis in nucleus* || microtubule binding || YCL029C || 1084327	-1.39	3.14E-01	0.11				7.38E-02	5.25E-02	0.03	0.26	3.40E-03	
CDC53	YDL132W	YDL132W	G1/S transition of mitotic cell cycle* || structural molecule activity* || YDL132W || 1086340	-1.39	3.15E-01	0.27				1.56E-03	1.15E-03	0.36	0.17	0.00E+00	yes
UBC6	YER100W	YER100W	protein monoubiquitination* || ubiquitin conjugating enzyme activity || YER100W || 1082608	-1.39	3.15E-01	0.26				1.99E-03	1.38E-03	0.36	0.17	0.00E+00	yes
YJR085C	YJR085C	YJR085C	biological process unknown || molecular function unknown || YJR085C || 1081592	-1.39	3.15E-01	0.33				3.90E-04	2.74E-04	0.31	0.16	0.00E+00	yes
MED7	YOL135C	YOL135C	transcription from RNA polymerase II promoter || RNA polymerase II transcription mediator activity || YOL135C || 1086256	-1.39	3.16E-01	0.13				4.44E-02	3.07E-02	-0.09	0.25	1.30E-03	
TRF5	YNL299W	YNL299W	sister chromatid cohesion* || DNA-directed DNA polymerase activity* || YNL299W || 1084184	-1.39	3.16E-01	0.14		down		3.41E-02	2.29E-02	0.15	0.26	4.50E-03	
FSP2	YJL221C	YJL221C	biological process unknown || alpha-glucosidase activity || YJL221C || 1085572	-1.38	3.16E-01	0.07				1.68E-01	1.30E-01	0.03	0.40	3.52E-01	
HIF1	YLL022C	YLL022C	chromatin silencing at telomere || molecular function unknown || YLL022C || 1086559	-1.38	3.17E-01	0.09				9.69E-02	7.07E-02	0.10	0.30	2.48E-02	
YDR387C	YDR387C	YDR387C	biological process unknown || permease activity || YDR387C || 1086024	-1.38	3.18E-01	0.18				1.67E-02	1.09E-02	0.27	0.22	1.00E-04	
PAU6	YNR076W	YNR076W	biological process unknown || molecular function unknown || YNR076W || 1084348	-1.38	3.18E-01	0.07				1.68E-01	1.30E-01	0.39	0.41	3.99E-01	
MON2	YNL297C	YNL297C	endocytosis* || guanyl-nucleotide exchange factor activity || YNL297C || 1086655	-1.38	3.18E-01	0.32				4.40E-04	3.15E-04	0.51	0.18	0.00E+00	yes
BUD23	YCR047C	YCR047C	bud site selection || S-adenosylmethionine-dependent methyltransferase activity || YCR047C || 1081702	-1.38	3.18E-01	0.04				2.92E-01	2.42E-01	0.13	0.43	4.97E-01	
YLR225C	YLR225C	YLR225C	biological process unknown || molecular function unknown || YLR225C || 1082403	-1.38	3.19E-01	0.21				7.96E-03	5.32E-03	0.70	0.21	1.00E-04	
YGL230C	YGL230C	YGL230C	biological process unknown || molecular function unknown || YGL230C || 1085364	-1.37	3.19E-01	0.09				9.46E-02	6.89E-02	0.07	0.33	6.81E-02	
YHR132W-A	YHR132W-A	YHR132W-A	biological process unknown || molecular function unknown || YHR132W-A || 1081950	-1.37	3.20E-01	0.17				1.88E-02	1.24E-02	0.42	0.22	1.00E-04	
YER128W	YER128W	YER128W	biological process unknown || molecular function unknown || YER128W || 1083692	-1.37	3.20E-01	0.08				1.24E-01	9.22E-02	0.36	0.33	7.91E-02	
INP51	YIL002C	YIL002C	cell wall organization and biogenesis* || inositol-polyphosphate 5-phosphatase activity || YIL002C || 1086475	-1.37	3.20E-01	0.24				3.91E-03	2.61E-03	0.40	0.19	0.00E+00	yes
YDL099W	YDL099W	YDL099W	biological process unknown || molecular function unknown || YDL099W || 1085169	-1.37	3.20E-01	0.35				2.30E-04	1.35E-04	0.38	0.15	0.00E+00	yes
KTR4	YBR199W	YBR199W	protein amino acid N-linked glycosylation || mannosyltransferase activity || YBR199W || 1084968	-1.37	3.20E-01	0.14				3.75E-02	2.55E-02	0.63	0.23	5.00E-04	
YPT11	YNL304W	YNL304W	mitochondrion inheritance || GTPase activity || YNL304W || 1080678	-1.37	3.20E-01	0.20				9.00E-03	5.96E-03	0.40	0.19	0.00E+00	yes
BLM3	YFL007W	YFL007W	protein catabolism* || proteasome activator activity || YFL007W || 1082027	-1.37	3.21E-01	0.08				1.24E-01	9.25E-02	0.31	0.29	1.91E-02	
YMR115W	YMR115W	YMR115W	biological process unknown || molecular function unknown || YMR115W || 1083048	-1.37	3.21E-01	0.11				6.15E-02	4.35E-02	0.08	0.28	1.19E-02	
IES6	YEL044W	YEL044W	metabolism || molecular function unknown || YEL044W || 1086330	-1.37	3.22E-01	0.13				4.21E-02	2.87E-02	0.23	0.26	4.00E-03	
DNF3	YMR162C	YMR162C	intracellular protein transport || phospholipid-translocating ATPase activity || YMR162C || 1082962	-1.37	3.22E-01	0.17				1.74E-02	1.14E-02	0.26	0.22	2.00E-04	
SMD3	YLR147C	YLR147C	"nuclear mRNA splicing, via spliceosome || RNA splicing factor activity, transesterification mechanism* || YLR147C || 1083319"	-1.37	3.22E-01	0.10				7.57E-02	5.39E-02	0.56	0.31	3.33E-02	
RLR1	YNL139C	YNL139C	mRNA-nucleus export* || DNA binding* || YNL139C || 1081414	-1.36	3.23E-01	0.18				1.43E-02	9.24E-03	0.27	0.22	2.00E-04	
DAL81	YIR023W	YIR023W	regulation of transcription from RNA polymerase II promoter* || specific RNA polymerase II transcription factor activity || YIR023W || 1084567	-1.36	3.24E-01	0.12				5.28E-02	3.71E-02	0.40	0.25	2.10E-03	
MSN2	YMR037C	YMR037C	response to stress* || DNA binding* || YMR037C || 1084253	-1.36	3.25E-01	0.24				3.47E-03	2.34E-03	0.44	0.17	0.00E+00	yes
SPT10	YJL127C	YJL127C	chromatin remodeling* || histone acetyltransferase activity || YJL127C || 1083666	-1.36	3.25E-01	0.23				4.22E-03	2.84E-03	0.33	0.16	0.00E+00	yes
YNL303W	YNL303W	YNL303W	|| || YNL303W || 1086651	-1.36	3.25E-01	0.18		down		1.39E-02	9.00E-03	0.49	0.19	0.00E+00	yes
KRE2	YDR483W	YDR483W	"protein amino acid O-linked glycosylation* || alpha-1,2-mannosyltransferase activity || YDR483W || 1081396"	-1.36	3.25E-01	0.06				1.82E-01	1.42E-01	0.67	0.35	1.40E-01	
UBP6	YFR010W	YFR010W	protein deubiquitination || ubiquitin-specific protease activity || YFR010W || 1084739	-1.36	3.25E-01	0.31				5.50E-04	3.99E-04	0.61	0.17	0.00E+00	yes
CDC2	YDL102W	YDL102W	nucleotide-excision repair* || delta DNA polymerase activity || YDL102W || 1081461	-1.36	3.25E-01	0.10				9.16E-02	6.63E-02	0.42	0.31	4.16E-02	
YML020W	YML020W	YML020W	biological process unknown || molecular function unknown || YML020W || 1084385	-1.35	3.26E-01	0.12				5.18E-02	3.62E-02	0.27	0.24	8.00E-04	
IRS4	YKR019C	YKR019C	cell wall organization and biogenesis* || molecular function unknown || YKR019C || 1082854	-1.35	3.26E-01	0.14				3.45E-02	2.32E-02	0.35	0.24	9.00E-04	
TFC3	YAL001C	YAL001C	transcription initiation from RNA polymerase III promoter || RNA polymerase III transcription factor activity || YAL001C || 1080763	-1.35	3.27E-01	0.27				1.43E-03	1.04E-03	0.50	0.18	0.00E+00	yes
SGM1	YJR134C	YJR134C	biological process unknown || molecular function unknown || YJR134C || 1084654	-1.35	3.27E-01	0.25				3.08E-03	2.09E-03	0.45	0.18	0.00E+00	yes
LST8	YNL006W	YNL006W	transport* || protein binding || YNL006W || 1086444	-1.35	3.27E-01	0.12				5.28E-02	3.71E-02	0.41	0.24	6.00E-04	
NBP1	YLR457C	YLR457C	biological process unknown || molecular function unknown || YLR457C || 1085205	-1.35	3.27E-01	0.11				6.60E-02	4.66E-02	0.15	0.26	4.60E-03	
YLR326W	YLR326W	YLR326W	biological process unknown || molecular function unknown || YLR326W || 1082291	-1.35	3.27E-01	0.17				1.88E-02	1.24E-02	0.09	0.22	3.00E-04	
DMA2	YNL116W	YNL116W	mitotic spindle checkpoint* || molecular function unknown || YNL116W || 1084532	-1.34	3.31E-01	0.18				1.57E-02	1.03E-02	0.62	0.21	0.00E+00	yes
YFL068W	YFL068W	YFL068W	biological process unknown || molecular function unknown || YFL068W || 1085848	-1.34	3.32E-01	0.07				1.70E-01	1.32E-01	0.38	0.29	1.97E-02	
YBR100W	YBR100W	YBR100W	|| || YBR100W || 1084713	-1.34	3.32E-01	0.19				1.32E-02	8.56E-03	0.34	0.22	2.00E-04	
VHT1	YGR065C	YGR065C	biotin transport || biotin transporter activity || YGR065C || 1085539	-1.34	3.32E-01	0.01				5.42E-01	4.94E-01	-0.12	0.83	1.00E+00	
YNR077C	YNR077C	YNR077C	|| || YNR077C || 1081801	-1.34	3.32E-01	0.03				3.59E-01	3.07E-01	0.07	0.49	7.59E-01	
YER152C	YER152C	YER152C	biological process unknown || molecular function unknown || YER152C || 1080883	-1.34	3.32E-01	0.02				4.79E-01	4.29E-01	0.49	0.58	9.46E-01	
YLR211C	YLR211C	YLR211C	biological process unknown || molecular function unknown || YLR211C || 1082867	-1.34	3.33E-01	0.11				6.58E-02	4.65E-02	0.36	0.29	1.82E-02	
VPS15	YBR097W	YBR097W	protein amino acid phosphorylation* || protein serine/threonine kinase activity || YBR097W || 1085389	-1.33	3.34E-01	0.13				4.58E-02	3.18E-02	0.57	0.25	1.60E-03	
YGR111W	YGR111W	YGR111W	biological process unknown || molecular function unknown || YGR111W || 1084158	-1.33	3.35E-01	0.24				3.32E-03	2.26E-03	0.55	0.18	0.00E+00	yes
PAU1	YJL223C	YJL223C	biological process unknown || molecular function unknown || YJL223C || 1084458	-1.33	3.35E-01	0.05				2.14E-01	1.69E-01	0.35	0.44	5.68E-01	
CBP4	YGR174C	YGR174C	protein complex assembly || molecular function unknown || YGR174C || 1085347	-1.32	3.37E-01	0.06				1.89E-01	1.48E-01	-0.27	0.39	2.91E-01	
TPS3	YMR261C	YMR261C	response to stress* || enzyme regulator activity* || YMR261C || 1084704	-1.32	3.38E-01	0.21				7.26E-03	4.81E-03	0.62	0.18	0.00E+00	yes
CAF130	YGR134W	YGR134W	regulation of transcription from RNA polymerase II promoter || molecular function unknown || YGR134W || 1082780	-1.32	3.38E-01	0.12				5.64E-02	3.98E-02	0.28	0.28	8.90E-03	
MGM101	YJR144W	YJR144W	DNA repair* || DNA binding || YJR144W || 1085174	-1.32	3.38E-01	0.21				6.86E-03	4.51E-03	0.20	0.20	0.00E+00	yes
	YKR022C	YKR022C	"nuclear mRNA splicing, via spliceosome || molecular function unknown || YKR022C || 1084671"	-1.32	3.39E-01	0.12				5.05E-02	3.53E-02	0.28	0.24	1.20E-03	
MCM2	YBL023C	YBL023C	DNA replication initiation* || chromatin binding* || YBL023C || 1085209	-1.32	3.39E-01	0.24				3.24E-03	2.21E-03	0.41	0.17	0.00E+00	yes
YGL196W	YGL196W	YGL196W	biological process unknown || molecular function unknown || YGL196W || 1083894	-1.32	3.39E-01	0.02				4.88E-01	4.37E-01	0.75	0.64	9.80E-01	
RIC1	YLR039C	YLR039C	intracellular protein transport || guanyl-nucleotide exchange factor activity || YLR039C || 1084072	-1.32	3.40E-01	0.40				6.00E-05	3.74E-05	0.16	0.14	0.00E+00	yes
