Entry	Status	Protein names	Organism	Length	Gene names  (ordered locus )	Gene names  (primary )	Cross-reference (KEGG)	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
Q6BWM5	unreviewed	DEHA2B10164p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	188	DEHA2B10164g		dha:DEHA2B10164g;				
B5RUA7	unreviewed	DEHA2F06622p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	946	DEHA2F06622g		dha:DEHA2F06622g;				
Q6BK44	unreviewed	DEHA2F25014p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	731	DEHA2F25014g		dha:DEHA2F25014g;	phosphorelay signal transduction system [GO:0000160]	phosphorelay signal transduction system [GO:0000160]		
Q6BHP3	unreviewed	DEHA2G17006p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	415	DEHA2G17006g		dha:DEHA2G17006g;	nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleic acid binding [GO:0003676]; structural constituent of nuclear pore [GO:0017056]; mRNA transport [GO:0051028]; protein transport [GO:0015031]	mRNA transport [GO:0051028]; protein transport [GO:0015031]	nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]	nucleic acid binding [GO:0003676]; structural constituent of nuclear pore [GO:0017056]
B5RT19	unreviewed	DEHA2B01320p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	563	DEHA2B01320g		dha:DEHA2B01320g;	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]			metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]
Q6BQ31	unreviewed	DEHA2E08778p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	121	DEHA2E08778g		dha:DEHA2E08778g;				
Q6BTV3	unreviewed	DEHA2C15708p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	215	DEHA2C15708g		dha:DEHA2C15708g;	inositol metabolic process [GO:0006020]	inositol metabolic process [GO:0006020]		
Q6BV73	unreviewed	DEHA2C04818p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	268	DEHA2C04818g		dha:DEHA2C04818g;	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; protein transport [GO:0015031]	protein transport [GO:0015031]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	
Q6BX48	unreviewed	DEHA2B05984p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	399	DEHA2B05984g		dha:DEHA2B05984g;				
Q6BHH8	unreviewed	DEHA2G18458p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	204	DEHA2G18458g		dha:DEHA2G18458g;	protein phosphatase inhibitor activity [GO:0004864]; regulation of signal transduction [GO:0009966]	regulation of signal transduction [GO:0009966]		protein phosphatase inhibitor activity [GO:0004864]
Q6BIW7	unreviewed	DEHA2G07040p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	321	DEHA2G07040g		dha:DEHA2G07040g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BWM3	unreviewed	Coatomer subunit epsilon	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	312	DEHA2B10208g		dha:DEHA2B10208g;	cytoplasmic vesicle [GO:0031410]; Golgi membrane [GO:0000139]; structural molecule activity [GO:0005198]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	cytoplasmic vesicle [GO:0031410]; Golgi membrane [GO:0000139]	structural molecule activity [GO:0005198]
Q6BJA1	unreviewed	DEHA2G04004p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	636	DEHA2G04004g		dha:DEHA2G04004g;	RNA binding [GO:0003723]			RNA binding [GO:0003723]
Q6BLY1	unreviewed	Ribosome biogenesis regulatory protein	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	200	DEHA2F09834g		dha:DEHA2F09834g;	nuclear periphery [GO:0034399]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, large subunit precursor [GO:0030687]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]	nuclear periphery [GO:0034399]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, large subunit precursor [GO:0030687]	
Q6BVC1	unreviewed	Alternative oxidase (EC 1.-.-.-)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	338	DEHA2C03828g		dha:DEHA2C03828g;	integral component of membrane [GO:0016021]; respirasome [GO:0070469]; alternative oxidase activity [GO:0009916]; metal ion binding [GO:0046872]		integral component of membrane [GO:0016021]; respirasome [GO:0070469]	alternative oxidase activity [GO:0009916]; metal ion binding [GO:0046872]
B5RUS7	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1531	DEHA2G13948g		dha:DEHA2G13948g;	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]			ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]
Q6BQ79	unreviewed	DEHA2E07590p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	455	DEHA2E07590g		dha:DEHA2E07590g;	integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]	transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]	
Q6BHY9	unreviewed	DEHA2G14762p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	673	DEHA2G14762g		dha:DEHA2G14762g;	nucleolus [GO:0005730]; RNA binding [GO:0003723]; rRNA processing [GO:0006364]	rRNA processing [GO:0006364]	nucleolus [GO:0005730]	RNA binding [GO:0003723]
Q6BUG8	unreviewed	Isocitrate dehydrogenase [NAD] subunit, mitochondrial	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	359	DEHA2C10758g		dha:DEHA2C10758g;	mitochondrion [GO:0005739]; isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	mitochondrion [GO:0005739]	isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]
Q6BY64	unreviewed	tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase (EC 2.1.1.282)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	280	DEHA2A12078g		dha:DEHA2A12078g;	tRNA methyltransferase activity [GO:0008175]; wybutosine biosynthetic process [GO:0031591]	wybutosine biosynthetic process [GO:0031591]		tRNA methyltransferase activity [GO:0008175]
Q6BUW6	unreviewed	DEHA2C07392p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	242	DEHA2C07392g		dha:DEHA2C07392g;				
Q6BH85	unreviewed	DEHA2G20548p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	305	DEHA2G20548g		dha:DEHA2G20548g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BHI5	unreviewed	Protein HGH1 homolog	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	367	DEHA2G18304g		dha:DEHA2G18304g;	translation elongation factor binding [GO:0061770]; chaperone-mediated protein folding [GO:0061077]	chaperone-mediated protein folding [GO:0061077]		translation elongation factor binding [GO:0061770]
Q6BSB3	unreviewed	DEHA2D10164p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	613	DEHA2D10164g		dha:DEHA2D10164g;	integral component of membrane [GO:0016021]; amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]	
Q6BVS4	unreviewed	DEHA2C00286p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	511	DEHA2C00286g		dha:DEHA2C00286g;	flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]			flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]
Q6BIE5	unreviewed	DEHA2G11110p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	416	DEHA2G11110g		dha:DEHA2G11110g;	ATP binding [GO:0005524]; GTP binding [GO:0005525]			ATP binding [GO:0005524]; GTP binding [GO:0005525]
Q6BW37	unreviewed	DEHA2B14608p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	606	DEHA2B14608g		dha:DEHA2B14608g;	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]		integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]
B5RTW3	unreviewed	DEHA2E06006p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	498	DEHA2E06006g		dha:DEHA2E06006g;	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]		integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]
Q6BKN9	unreviewed	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	988	DEHA2F20372g		dha:DEHA2F20372g;	mitochondrion [GO:0005739]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; isoleucyl-tRNA aminoacylation [GO:0006428]; mitochondrial translation [GO:0032543]	isoleucyl-tRNA aminoacylation [GO:0006428]; mitochondrial translation [GO:0032543]	mitochondrion [GO:0005739]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]
B5RTY1	unreviewed	DEHA2E09284p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1105	DEHA2E09284g		dha:DEHA2E09284g;	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]			ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]
Q6BH26	unreviewed	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1098	DEHA2G21890g		dha:DEHA2G21890g;	2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; flavin adenine dinucleotide binding [GO:0050660]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; NADP binding [GO:0050661]; nitrite reductase [NAD(P)H] activity [GO:0008942]; nitrate assimilation [GO:0042128]	nitrate assimilation [GO:0042128]		2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; flavin adenine dinucleotide binding [GO:0050660]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; NADP binding [GO:0050661]; nitrite reductase [NAD(P)H] activity [GO:0008942]
Q6BSU0	unreviewed	DEHA2D06270p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	386	DEHA2D06270g		dha:DEHA2D06270g;	DNA binding [GO:0003677]			DNA binding [GO:0003677]
Q6BK92	unreviewed	DEHA2F23848p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	566	DEHA2F23848g		dha:DEHA2F23848g;	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
Q6BNL0	unreviewed	DEHA2E20878p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	578	DEHA2E20878g		dha:DEHA2E20878g;	phosphomethylpyrimidine kinase activity [GO:0008972]; thiamine biosynthetic process [GO:0009228]	thiamine biosynthetic process [GO:0009228]		phosphomethylpyrimidine kinase activity [GO:0008972]
Q6BZ79	unreviewed	DEHA2A03366p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	659	DEHA2A03366g		dha:DEHA2A03366g;	TORC1 complex [GO:0031931]; TOR signaling [GO:0031929]	TOR signaling [GO:0031929]	TORC1 complex [GO:0031931]	
Q6BNX3	unreviewed	DEHA2E18326p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	399	DEHA2E18326g		dha:DEHA2E18326g;	catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]; biosynthetic process [GO:0009058]	biosynthetic process [GO:0009058]		catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]
B5RUM1	unreviewed	DEHA2F22792p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	746	DEHA2F22792g		dha:DEHA2F22792g;				
Q6BI42	unreviewed	DEHA2G13596p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	342	DEHA2G13596g		dha:DEHA2G13596g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BJ07	unreviewed	DEHA2G06138p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	424	DEHA2G06138g		dha:DEHA2G06138g;				
Q6BN40	unreviewed	DEHA2F00440p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	70	DEHA2F00440g		dha:DEHA2F00440g;				
Q6BNZ7	unreviewed	DEHA2E17776p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	242	DEHA2E17776g		dha:DEHA2E17776g;				
Q6BXE6	unreviewed	DEHA2B03696p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	220	DEHA2B03696g		dha:DEHA2B03696g;	cleavage furrow leading edge [GO:0090689]; cortical dynamic polarity patch [GO:0090726]; growing cell tip [GO:0035838]; meiotic spindle pole [GO:0090619]; meiotic spindle pole body [GO:0035974]; prospore membrane [GO:0005628]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; mitotic cytokinesis [GO:0000281]; positive regulation of ascospore-type prospore membrane formation [GO:1903024]; positive regulation of exocytosis [GO:0045921]; protein localization to cell cortex of cell tip [GO:1990896]; protein localization to meiotic spindle pole body [GO:1902441]; vacuole fusion, non-autophagic [GO:0042144]	mitotic cytokinesis [GO:0000281]; positive regulation of ascospore-type prospore membrane formation [GO:1903024]; positive regulation of exocytosis [GO:0045921]; protein localization to cell cortex of cell tip [GO:1990896]; protein localization to meiotic spindle pole body [GO:1902441]; vacuole fusion, non-autophagic [GO:0042144]	cleavage furrow leading edge [GO:0090689]; cortical dynamic polarity patch [GO:0090726]; growing cell tip [GO:0035838]; meiotic spindle pole [GO:0090619]; meiotic spindle pole body [GO:0035974]; prospore membrane [GO:0005628]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]
Q6BSB4	unreviewed	Tubulin-folding cofactor C	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	279	DEHA2D10142g		dha:DEHA2D10142g;	cell morphogenesis [GO:0000902]; post-chaperonin tubulin folding pathway [GO:0007023]	cell morphogenesis [GO:0000902]; post-chaperonin tubulin folding pathway [GO:0007023]		
Q6BU01	unreviewed	DEHA2C14608p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	735	DEHA2C14608g		dha:DEHA2C14608g;				
Q6BJT4	unreviewed	DEHA2G00198p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	403	DEHA2G00198g		dha:DEHA2G00198g;				
Q6BJF3	unreviewed	DEHA2G02838p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	574	DEHA2G02838g		dha:DEHA2G02838g;	rRNA processing [GO:0006364]	rRNA processing [GO:0006364]		
Q6BPP7	unreviewed	DEHA2E11836p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	821	DEHA2E11836g		dha:DEHA2E11836g;	Cdc24p-Far1p-Gbetagamma complex [GO:0120171]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; nucleus [GO:0005634]; guanyl-nucleotide exchange factor activity [GO:0005085]; cellular bud site selection [GO:0000282]; chemotropism [GO:0043577]; intracellular signal transduction [GO:0035556]; protein localization to cell cortex [GO:0072697]; regulation of exit from mitosis [GO:0007096]; septin ring organization [GO:0031106]	cellular bud site selection [GO:0000282]; chemotropism [GO:0043577]; intracellular signal transduction [GO:0035556]; protein localization to cell cortex [GO:0072697]; regulation of exit from mitosis [GO:0007096]; septin ring organization [GO:0031106]	Cdc24p-Far1p-Gbetagamma complex [GO:0120171]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; nucleus [GO:0005634]	guanyl-nucleotide exchange factor activity [GO:0005085]
B5RUX0	unreviewed	DEHA2G21164p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	802	DEHA2G21164g		dha:DEHA2G21164g;	endoplasmic reticulum [GO:0005783]; Golgi vesicle transport [GO:0048193]	Golgi vesicle transport [GO:0048193]	endoplasmic reticulum [GO:0005783]	
Q6BIA3	unreviewed	DEHA2G12320p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	450	DEHA2G12320g		dha:DEHA2G12320g;				
Q6BSA4	unreviewed	DEHA2D10362p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	201	DEHA2D10362g		dha:DEHA2D10362g;	nucleus [GO:0005634]; unfolded protein binding [GO:0051082]; cellular response to oxidative stress [GO:0034599]; regulation of protein localization [GO:0032880]; response to osmotic stress [GO:0006970]; ribosomal small subunit biogenesis [GO:0042274]; ribosomal small subunit export from nucleus [GO:0000056]	cellular response to oxidative stress [GO:0034599]; regulation of protein localization [GO:0032880]; response to osmotic stress [GO:0006970]; ribosomal small subunit biogenesis [GO:0042274]; ribosomal small subunit export from nucleus [GO:0000056]	nucleus [GO:0005634]	unfolded protein binding [GO:0051082]
Q6BZ32	unreviewed	DEHA2A04972p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	387	DEHA2A04972g		dha:DEHA2A04972g;	nuclear chromosome [GO:0000228]; Ski complex [GO:0055087]; nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; protein-DNA complex assembly [GO:0065004]; reciprocal meiotic recombination [GO:0007131]	nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; protein-DNA complex assembly [GO:0065004]; reciprocal meiotic recombination [GO:0007131]	nuclear chromosome [GO:0000228]; Ski complex [GO:0055087]	
Q6BIK7	unreviewed	DEHA2G09614p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1001	DEHA2G09614g		dha:DEHA2G09614g;	TORC2 complex [GO:0031932]		TORC2 complex [GO:0031932]	
Q6BU22	unreviewed	DEHA2C14168p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	128	DEHA2C14168g		dha:DEHA2C14168g;				
Q6BGQ8	unreviewed	DEHA2G24640p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	259	DEHA2G24640g		dha:DEHA2G24640g;	mitochondrial small ribosomal subunit [GO:0005763]; metal ion binding [GO:0046872]; structural constituent of ribosome [GO:0003735]; superoxide dismutase activity [GO:0004784]		mitochondrial small ribosomal subunit [GO:0005763]	metal ion binding [GO:0046872]; structural constituent of ribosome [GO:0003735]; superoxide dismutase activity [GO:0004784]
Q6BTS1	unreviewed	DEHA2C16346p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	815	DEHA2C16346g		dha:DEHA2C16346g;	protein homodimerization activity [GO:0042803]; telomeric DNA binding [GO:0042162]; cell cycle [GO:0007049]	cell cycle [GO:0007049]		protein homodimerization activity [GO:0042803]; telomeric DNA binding [GO:0042162]
Q6BZD5	unreviewed	Polynucleotide adenylyltransferase (EC 2.7.7.19)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	600	DEHA2A02200g		dha:DEHA2A02200g;	polynucleotide adenylyltransferase activity [GO:0004652]			polynucleotide adenylyltransferase activity [GO:0004652]
Q6BNQ3	unreviewed	DEHA2E19800p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1042	DEHA2E19800g		dha:DEHA2E19800g;	fungal-type vacuole membrane [GO:0000329]; nuclear periphery [GO:0034399]; PAS complex [GO:0070772]; phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity [GO:0043813]; phosphatidylinositol dephosphorylation [GO:0046856]	phosphatidylinositol dephosphorylation [GO:0046856]	fungal-type vacuole membrane [GO:0000329]; nuclear periphery [GO:0034399]; PAS complex [GO:0070772]	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity [GO:0043813]
B5RTZ6	unreviewed	DEHA2E12386p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	451	DEHA2E12386g		dha:DEHA2E12386g;				
